source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_purvi_playlist_TS7yDjDhIzw,purvi,Jnanamosagarada -  Raga: Purvikalyani - Composer: Tyagaraja - Dr. M Balamuralikrishna,,,https://www.youtube.com/watch?v=TS7yDjDhIzw,2,+raga,reference_only,unknown,,
yt_purvi_playlist_b4CzSsDQXBo,purvi,Dasha Gamakakriye - M Balamuralikrishna live in  Vijayawada - 03 Jan 1982,,,https://www.youtube.com/watch?v=b4CzSsDQXBo,1,+live,reference_only,unknown,,
yt_purvi_playlist_gFpJowY4y58,purvi,"Apoorva Purvikalyani -  Dikshitar's ""Meenakshi - Gamakakriya"" -  A Vintage Rendition (1968) - BMK",,,https://www.youtube.com/watch?v=gFpJowY4y58,0,,reference_only,unknown,,
yt_purvi_playlist__8s_gznPJus,purvi,AIR Archival Concert # 3 : M Balamuralikrishna - Lalgudi G Jayaraman - Tanjore Upendran,,,https://www.youtube.com/watch?v=_8s_gznPJus,0,,reference_only,unknown,,
yt_purvi_playlist_0EDBTjUptFE,purvi,A Visualisation of a VIOLA Concert on  Spool - Dr. M Balamuralikrishna - 18 June 1977,,,https://www.youtube.com/watch?v=0EDBTjUptFE,0,,reference_only,unknown,,
yt_purvi_playlist_OtsKbMKjwpc,purvi,An Archival Video for Navaratri : Meenakshi Memudam - Gamakakriya /Purvikayani - M Balamuralikrishna,,,https://www.youtube.com/watch?v=OtsKbMKjwpc,0,,reference_only,unknown,,
yt_purvi_playlist_0GSy4np8XIM,purvi,"The Marvel of Muraliganam @ Chowdaiah Memorial Hall, Bangalore : M Balamuralikrishna - 06 Sept 1981",,,https://www.youtube.com/watch?v=0GSy4np8XIM,0,,reference_only,unknown,,
yt_purvi_playlist_eMIWcnOr_bE,purvi,Sapta Vaggeyakara Sangeeta Darshana in Muraliganam – An Innovative Concert by  M Balamuralikrishna,,,https://www.youtube.com/watch?v=eMIWcnOr_bE,0,,reference_only,unknown,,
yt_purvi_playlist_a5FffYQ8cTw,purvi,"1970s Radio Sangeetha Sammelana, AIR Bangalore - M Balamuralikrishna - Keshavulu - Dandamudi R  Rao",,,https://www.youtube.com/watch?v=a5FffYQ8cTw,0,,reference_only,unknown,,
