source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_kafi_playlist_frBwy9bJM4E,kafi,Gairon Pe Karam Apnon Pe Sitam - Lata - Aankhen (1968) - HD,,,https://www.youtube.com/watch?v=frBwy9bJM4E,0,,reference_only,unknown,,
yt_kafi_playlist_2bTuSPVC5AE,kafi,"Tumhara Pyaar Chahiye, Mujhe Jeene Ke Liye",,,https://www.youtube.com/watch?v=2bTuSPVC5AE,0,,reference_only,unknown,,
yt_kafi_playlist_x1bCMRxr-ZU,kafi,[Deleted video],,,https://www.youtube.com/watch?v=x1bCMRxr-ZU,0,,reference_only,unknown,,
yt_kafi_playlist_lJeaIeNezd0,kafi,kaase kahun mann ki baat_Dhool Ka Phool_Mala Sinha& Rajendra K_ Sudha Malhotra_Sahir_N Dutta_a tri..,,,https://www.youtube.com/watch?v=lJeaIeNezd0,0,,reference_only,unknown,,
yt_kafi_playlist_EavepsQ3F_U,kafi,Aaradhisuve Madanaari | ಆರಾಧಿಸುವೆ ಮದನಾರಿ |Babruvahana |  Dr Rajkumar | Jayamala | Kannada Video Song,,,https://www.youtube.com/watch?v=EavepsQ3F_U,-1,-1song,reference_only,unknown,,
