source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_todi_playlist_fme6p3d4dw8,todi,Zakir Hussain  ~ Raga Mian Ki Todi: Gat in Teentaal,,,https://www.youtube.com/watch?v=fme6p3d4dw8,2,+raga,reference_only,unknown,,
yt_todi_playlist_4q71TUnUIec,todi,Alliance Francaise Hyderabad Concert - Esraj Recital - Raag Miyan Ki Todi by Alexandre Jurain,,,https://www.youtube.com/watch?v=4q71TUnUIec,2,+raag,reference_only,unknown,,
yt_todi_playlist_RcRXDDpAruU,todi,Raga Todi,,,https://www.youtube.com/watch?v=RcRXDDpAruU,2,+raga,reference_only,unknown,,
yt_todi_playlist_k9Dx6YEkUWw,todi,Diabetes - Todi - Sitar,,,https://www.youtube.com/watch?v=k9Dx6YEkUWw,2,+sitar,reference_only,unknown,,
yt_todi_playlist_2kDGixbahuw,todi,1959 - Akashvani Sangeet Sammelan II Manik Verma II Raga - Todi,,,https://www.youtube.com/watch?v=2kDGixbahuw,2,+raga,reference_only,unknown,,
yt_todi_playlist_64wfMQl1U2k,todi,Raag Miyan Ki Todi,,,https://www.youtube.com/watch?v=64wfMQl1U2k,2,+raag,reference_only,unknown,,
yt_todi_playlist_c7T4bDt3_2U,todi,|| Raga Todi || Sawani Mudgal || Laagi re,,,https://www.youtube.com/watch?v=c7T4bDt3_2U,2,+raga,reference_only,unknown,,
yt_todi_playlist_7W1Pb6n7mkg,todi,Raag Todi - Akbar Ali Khan,,,https://www.youtube.com/watch?v=7W1Pb6n7mkg,2,+raag,reference_only,unknown,,
yt_todi_playlist_9EkzcYrwDJs,todi,Ustad Vilayat Khan - Live Miyan ki Todi 2 - Gat,,,https://www.youtube.com/watch?v=9EkzcYrwDJs,2,"+ustad, +live",reference_only,unknown,,
yt_todi_playlist_PPzHkinut4k,todi,Vilayat Khan - Raag Miyan Ki Todi,,,https://www.youtube.com/watch?v=PPzHkinut4k,2,+raag,reference_only,unknown,,
yt_todi_playlist_jXevl9sHueU,todi,Raag Miyan Ki Todi,,,https://www.youtube.com/watch?v=jXevl9sHueU,2,+raag,reference_only,unknown,,
yt_todi_playlist_rvwdBq6Tyh4,todi,Ali Akbar Khan - Raag Miyan Ki Todi,,,https://www.youtube.com/watch?v=rvwdBq6Tyh4,2,+raag,reference_only,unknown,,
yt_todi_playlist_Sqj1wIZ0j2M,todi,"Sh. Vasantrao Deshpande, Raag Todi",,,https://www.youtube.com/watch?v=Sqj1wIZ0j2M,2,+raag,reference_only,unknown,,
yt_todi_playlist_mT20Sdfunhw,todi,MIYA KI TODI 3    UT  RAIS KHAN,,,https://www.youtube.com/watch?v=mT20Sdfunhw,0,,reference_only,unknown,,
yt_todi_playlist_ih5A8z3ABOI,todi,UT  RAIS KHAN SAHAB   MIYA KI TODI,,,https://www.youtube.com/watch?v=ih5A8z3ABOI,0,,reference_only,unknown,,
yt_todi_playlist_ptRiplX0hOo,todi,Dr.Vinayak Sharma | Miyan Ki Todi | UOR official page | 21 06 2020,,,https://www.youtube.com/watch?v=ptRiplX0hOo,0,,reference_only,unknown,,
yt_todi_playlist_OKU96LdjrLE,todi,Soulful Rendition of Miyaki Todi and Gaud Sarang on Surbahar| Sri Souravbrata Chakraborty | SASHRUTA,,,https://www.youtube.com/watch?v=OKU96LdjrLE,0,,reference_only,unknown,,
yt_todi_playlist_ptRiplX0hOo,todi,Dr.Vinayak Sharma | Miyan Ki Todi | UOR official page | 21 06 2020,,,https://www.youtube.com/watch?v=ptRiplX0hOo,0,,reference_only,unknown,,
yt_todi_playlist_ih5A8z3ABOI,todi,UT  RAIS KHAN SAHAB   MIYA KI TODI,,,https://www.youtube.com/watch?v=ih5A8z3ABOI,0,,reference_only,unknown,,
yt_todi_playlist_mT20Sdfunhw,todi,MIYA KI TODI 3    UT  RAIS KHAN,,,https://www.youtube.com/watch?v=mT20Sdfunhw,0,,reference_only,unknown,,
yt_todi_playlist_rohRoU1uZ4w,todi,[Private video],,,https://www.youtube.com/watch?v=rohRoU1uZ4w,0,,reference_only,unknown,,
yt_todi_playlist_qKgYkTIAp9k,todi,"Ali Akbar Khan, Miyan Ki Todi",,,https://www.youtube.com/watch?v=qKgYkTIAp9k,0,,reference_only,unknown,,
