source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_malkauns_playlist_xKa1czYtK-E,malkauns,Raag Malkauns Part 2 - Swar Vistaar and Palta Riyaaz  | Scale C #hindustanimusic,,,https://www.youtube.com/watch?v=xKa1czYtK-E,2,+raag,reference_only,unknown,,
yt_malkauns_playlist_8_sMXkdSQKw,malkauns,Raag Malkauns Part 1 - Parichay (Introduction) and Sargam Geet | Scale C | #indianclassicalmusic,,,https://www.youtube.com/watch?v=8_sMXkdSQKw,2,+raag,reference_only,unknown,,
yt_malkauns_playlist_EjrY3RvPYbU,malkauns,"राग मालकौंस भाग 3 - तीन ताल बंदिश, अलाप और तान (कोयलिया बोले अम्बवा की डारी पे)  | Scale C",,,https://www.youtube.com/watch?v=EjrY3RvPYbU,0,,reference_only,unknown,,
