source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_khamaj_playlist_c6EpGAMmt7I,khamaj,Raag Khamaj Panghat Muraliya || Chhota Khayal || Bandish || Lakshan Geet || राग खमाज लक्षण गीत ||,,,https://www.youtube.com/watch?v=c6EpGAMmt7I,6,"+raag, +khayal, +bandish",reference_only,unknown,,
yt_khamaj_playlist_0D49drmhm9U,khamaj,राग खमाज  परिचय आरोह अवरोह पकड़ || Raag Khamaj Introduction || Arti Jha,,,https://www.youtube.com/watch?v=0D49drmhm9U,2,+raag,reference_only,unknown,,
yt_khamaj_playlist_g3YNUQAkb9U,khamaj,Sargam Geet Raag Khamaj || सरगम गीत राग खमाज || Harmonium Lesson With Notation || Arti Jha,,,https://www.youtube.com/watch?v=g3YNUQAkb9U,2,+raag,reference_only,unknown,,
